Column,doc_id,sentence_id,entity,no.titles,entity_type,link
1212,text97,19,Kernes Fb,Kernes Fb,PER,0097.jpg
1320,text99,16,No,No,PER,0099.jpg
1416,text101,3,F. Lützelschwab,F. Lützelschwab,PER,0101.jpg
1417,text101,3,z. Adler,z. Adler,PER,0101.jpg
1461,text105,12,Herrn,,PER,0105.jpg
1513,text110,1,richter,richter,PER,0110.jpg
1541,text113,10,Foslfoo,Foslfoo,PER,0113.jpg
1556,text115,9,Bankverein Basel,Bankverein Basel,PER,0115.jpg
1559,text115,9,Herrn Dr. Max Vischer,Vischer,PER,0115.jpg
1567,text115,17,Ienfel,Ienfel,PER,0115.jpg
1591,text117,4,Spillmann,Spillmann,PER,0117.jpg
1605,text119,2,Dr. W. Meile,W. Meile,PER,0119.jpg
1613,text120,11,Basler,Basler,PER,0120.jpg
1638,text121,2,Kret,Kret,PER,0121.jpg
1655,text122,8,Bankverein Basel,Bankverein Basel,PER,0122.jpg
1657,text122,11,Herrn Dr. Max Vischer,Vischer,PER,0122.jpg
1661,text122,14,Herrn,,PER,0122.jpg
1668,text123,1,Herrn Dr.,,PER,0123.jpg
1694,text124,27,Herrn,,PER,0124.jpg
1695,text124,27,F.Mangold,F.Mangold,PER,0124.jpg
1736,text128,21,Herrn Ryniker,Ryniker,PER,0128.jpg
1741,text129,1,Gellert,Gellert,PER,0129.jpg
1761,text130,14,Easer,Easer,PER,0130.jpg
1789,text132,5,Fritz Ritter,Fritz Ritter,PER,0132.jpg
1814,text133,22,Herrn Wacker,Wacker,PER,0133.jpg
1843,text135,5,Herrn Wacker,Wacker,PER,0135.jpg
1852,text136,7,Bankverein Basel,Bankverein Basel,PER,0136.jpg
